name	iso 639-3	iso 639-2	iso 639-1	gost 7.75-97	code
Фон		fon	fon	фон	743
Французский	fr	fra/fre	fra	фра	745
Среднефранцузский		frm	frm	срф	622
Старофранцузский		fro	fro	стф	630
Фризский	fy	fry	fry	фри	750
Фулах	ff	ful	ful	фул	752
Га		gaa	gaa	гаа	142
Гагаузский			gag	гаг	145
Гайо		gay	gay	гай	146
Геэз		gez	gez	гез	151
Гилбертский		gil	gil	гил	152
Гэльский	gd	gla	gla	гэл	170
Нанайский (гольдский)			gld	нан	471
Ирландский	ga	gle	gle	ирл	220
Галисийский	gl	glg	glg	гал	147
Мэнский (Мэнкский)	gv	glv	glv	мэн	469
Средневерхненемецкий		gmh	gmh	срн	620
Староверхненемецкий		goh	goh	свн	624
Гонди		gon	gon	гон	153
Готский		got	got	гот	154
Гребо		grb	grb	грб	155
Древнегреческий		grc	grc	дрг	186
Гуарани	gn	grn	grn	гуа	160
Гуджарати	gu	guj	guj	гуд	165
Хайда		hai	hai	хай	753
Хауса	ha	hau	hau	хау	761
Гавайский		haw	haw	гав	143
Иврит	he	heb	heb	ивр	198
Гереро	hz	her	her	гер	149
Хилигайнон		hil	hil	хил	762
Хинди	hi	hin	hin	хин	770
Хиримоту	ho	hmo	hmo	хмо	772
Хорватский	hr	hrv/scr	hrv		
Венгерский	hu	hun	hun	вен	133
Хупа		hup	hup	хуп	774
Армянский	hy	arm/hye	hye/axm/xcl	арм	055
Ибанский		iba	iba	иба	197
Игбо	ig	ibo	ibo	ибо	199
Инуктитут	iu	iku	iku	инк	217
Интерлингве	ie	ile	ile	ине	216
Илоко		ilo	ilo	ило	203
Интерлингва	ia	ina	ina	ина	215
Индонезийский	id	ind	ind	инд	210
Ингушский		inh	inh	инг	205
Инупиак	ik	ipk	ipk	инп	218
Исландский	is	ice/isl	isl	исл	225
Итальянский	it	ita	ita	ита	235
Ительменский			itl	ите	240
Яванский	jv	jav/jaw	jav	ява	860
Японский	ja	jpn	jpn	япо	870
Еврейско-персидский		jpr	jpr	епе	193
Еврейско-арабский		jrb	jrb	еар	192
Каракалпакский		kaa	kaa	кал	275
Кабильский		kab	kab	каб	251
Качинский		kac	kac	кач	293
Гренландский	kl	kal	kal	эсм	843
Камба		kam	kam	кам	263
Каннада	kn	kan	kan	кан	265
Кашмири	ks	kas	kas	каш	294
Грузинский	ka	geo/kat	kat	гру	158
Канури	kr	kau	kau	кау	267
Кави		kaw	kaw	каг	252
Казахский	kk	kaz	kaz	каз	255
Кабардино-черкесский		kbd	kbd	каа	250
Хантыйский (остяцкий)			kca	хан	760
Караимский			kdr	каи	270
Кхаси		kha	kha	кха	357
Кхмерский	km	khm	khm	кхм	360
Хотанский		kho	kho	хот	773
Кикуйю	ki	kik	kik	кик	302
Руанда	rw	kin	kin	кин	304
Киргизский	ky	kir	kir	кир/кыр	305
Хакасский			kjh	хак	755
Коми-пермяцкий			koi	ком	325
Конкани		kok	kok	кок	327
Коми	kv	kom	kom	кои	320
Конго	kg	kon	kon	кон	326
Корейский	ko	kor	kor	коо	330
Кусайе		kos	kos	кус	353
Кпелле		kpe	kpe	кпе	341
Корякский			kpy	коя	335
Карачаево-балкарский		krc	krc	као	280
Карельский		krl	krl	кас	285
Курух		kru	kru	куу	352
Киньяма	kj	kua	kua	кия	303
Кумыкский		kum	kum	кум	349
Курдский	ku	kur	kur	кур	350
Кутенай		kut	kut	кут	354
Ладино		lad	lad	лад	363
Лахнда		lah	lah	лах	387
Ламба		lam	lam	лам	373
Лаосский	lo	lao	lao	лао	375
Латинский	la	lat	lat	лат	380
Латышский	lv	lav	lav	лаш	385
Лакский			lbe	лак	370
Лезгинский		lez	lez	лез	390
Лингала	ln	lin	lin	лин	395
Литовский	lt	lit	lit	лит	400
Монго		lol	lol	мог	462
Лози		loz	loz	лоз	402
Люксембургский	lb	ltz	ltz	люк	409
Луба-катанга	lu	lub	lub	луб	404
Ганда	lg	lug	lug	ган	148
Луисеньо		lui	lui	луи	406
Лунда		lun	lun	лун	407
Луо		luo	luo	луо	408
Мадурский		mad	mad	мад	411
Магахи		mag	mag	маг	410
Маршалльский	mh	mah	mah	маш	446
Майтхили		mai	mai	май	412
Макассарский		mak	mak	мак	414
Малаялам	ml	mal	mal	мал	425
Мандинго		man	man	май	432
Маратхи	mr	mar	mar	мар	440
Масаи		mas	mas	мас	447
Мокшанский		mdf	mdf	мок	455
Менде		men	men	мен	451
Мерянский	me	mer	mer	мер	
Среднеирландский		mga	mga	сеи	621
Микмак		mic	mic	мик	452
Минангкабау		min	min	мин	453
Македонский	mk	mac/mkd	mkd	маа	415
Малагасийский	mg	mlg	mlg	млг	418
Мальтийский	mt	mlt	mlt	млт	430
Манипури		mni	mni	мни	433
Мансийский (Вогульский)			mns	ман	435
Мохаук		moh	moh	мох	467
Монгольский	mn	mon	mon	мон	463
Мооре		mos	mos	мос	466
Маори	mi	mao/mri	mri	мао	437
Малайский	ms	may/msa	msa	маз	420
Разных семей языки		mul	mul	мул	556
Крик		mus	mus	крк	344
Марвари		mwr	mwr	мвр	443
Бирманский	my	bur/mya	mya	бир	105
Эрзянский		myv	myv	эрз	835
Ацтекский			nah	ацт	075
Науру	na	nau	nau	нау	472
Навахо	nv	nav	nav	нав	470
Ндебеле южный	nr	nbl	nbl	нбл	474
Ндебеле северный	nd	nde	nde	нде	473
Ндунга	ng	ndo	ndo	нду	475
Непальский	ne	nep	nep	неп	485
Неварский		new	new	нев	478
Ниуэ		niu	niu	ниу	498
Нивхский (гиляцкий)			niv	нив	490
Нидерландский (Голландский)	nl	dut/nld	nld	нид	495
Нюнорск (новонорвежский)	nn	nno	nno	нно	513
Ногайский		nog	nog	ног	505
Старонорвежский		non	non	стн	626
Норвежский	no	nor	nor	нор	506
Сото северный		nso	nso	сос	617
Ньянджа	ny	nya	nya	нян	510
Ньямвези		nym	nym	ням	509
Ньянколе		nyn	nyn	нья	512
Ньоро		nyo	nyo	ньо	508
Нзима		nzi	nzi	нзи	487
Окситанский	oc	oci	oci	окс	517
Оджибве	oj	oji	oji	одж	515
Ория	or	ori	ori	ори	520
Оромо	om	orm	orm	орм	522
Древнерусский			orv	дрр	188
Оседжи		osa	osa	осе	523
Осетинский	os	oss	oss	ост	524
Древнесаксонский			osx		
Старотурецкий		ota	ota	стт	629
Пангасинан		pag	pag	паг	529
Пехлевийский		pal	pal	пех	537
Пампанга		pam	pam	пам	528
Пенджабский	pa	pan	pan	пан	530
Папьяменто		pap	pap	пап	533
Палау		pau	pau	пал	526
Староперсидский		peo	peo	стп	627
Финикийский		phn	phn	фик	738
Пали	pi	pli	pli	пли	527
Польский	pl	pol	pol	пол	540
Понапе		pon	pon	пон	542
Португальский	pt	por	por	пор	545
Старопровансальский		pro	pro	спр	628
Пушту	ps	pus	pus	пуш	550
Кечуа	qu	que	que	кеч	300
Раджастхани		raj	raj	рад	555
Раротонга		rar	rar	рар	557
Ретороманский	rm	roh	roh	рет	560
Цыганский		rom	rom	цыг	780
Румынский	ro	ron/rum	ron	рум	565
Рунди	rn	run	run	рун	567
Русский	ru	rus	rus	рус	570
Рутульский			rut	рут	
Сандаве		sad	sad	сад	580
Санго	sg	sag	sag	саг	579
Якутский (Саха)		sah	sah	яку	865
Самаритянский арамейский		sam	sam	сам	577
Санскрит	sa	san	san	сан	581
Шотландский (англо-шотландский)		sco	sco		
Селькупский		sel	sel	сел	590
Староирландский		sga	sga	сти	625
Шугнанский			sgh	шуг	815
Шанский		shn	shn	шан	803
Сидама		sid	sid	сид	597
Сингальский	si	sin	sin	син	599
Словацкий	sk	slk/slo	slk	сло	605
Словенский	sl	slv	slv	слв	610
Саамский		smi	smi	саа	575
Самоанский	sm	smo	smo	смо	578
Шона	sn	sna	sna	шон	807
Синдхи	sd	snd	snd	снд	600
Согдийский		sog	sog	сог	613
Сомали	so	som	som	сом	615
Сото южный	st	sot	sot	сот	618
Испанский	es	esl/spa	spa	исп	230
Албанский	sq	alb/sqi	sqi	алб	030
Сардинский	sc	srd	srd	срд	583
Сербский	sr	scc	srp		
Серер		srr	srr	срр	596
Свази	ss	ssw	ssw	сва	584
Сибирскотатарский			sty	сиб	594*
Сукума		suk	suk	сук	632
Сунданский	su	sun	sun	сун	633
Сусу		sus	sus	сус	634
Шумерский		sux	sux	шум	817
Суахили	sw	swa	swa	суа	631
Шведский	sv	sve/swe	swe	шве	805
Сирийский		syr	syr	сир	602
Табасаранский			tab	таб	635
Таитянский	ty	tah	tah	тая	647
Тамильский	ta	tam	tam	там	655
Татарский	tt	tat	tat	тар	660
Телугу	te	tel	tel	тел	675
Темне		tem	tem	тем	677
Терено		ter	ter	тер	678
Таджикский	tg	tgk	tgk	тад	640
Тагальский	tl	tgl	tgl	таг	636
Тайский	th	tha	tha	таи	645
Тигре		tig	tig	тиг	682
Тигринья	ti	tir	tir	тир	683
Тиви		tiw	tiw	тив	681
Цахурский			tkr	цах	775
Тлингит		tli	tli	тли	684
Талышский			tly	тал	650
Тамашек		tmh	tmh	тмш	653
Тонга (Ньяса)		tog	tog	тог	685
Тонганский	to	ton	ton	тон	686
Цимшиан		tsi	tsi	цим	778
Тсвана	tn	tsn	tsn	тсн	688
Тсонга	ts	tso	tso	тсо	689
Туркменский	tk	tuk	tuk	тук	695
Тумбука		tum	tum	тум	692
Турецкий	tr	tur	tur	тур	693
Тви	tw	twi	twi	тви	670
Тувинский		tyv	tyv	тув	690
Удэгейский			ude	удэ	705
Удмуртский (вотяцкий)		udm	udm	удм	700
Угаритский		uga	uga	уга	697
Уйгурский	ug	uig	uig	уйг	715
Украинский	uk	ukr	ukr	укр	720
Ульчский			ulc	уль	725
Умбунду		umb	umb	умб	727
Неидентифицированный		und	und	унд	480
Урду	ur	urd	urd	урд	730
Узбекский	uz	uzb	uzb	узб	710
Ваи		vai	vai	ваи	127
Венда	ve	ven	ven	вед	134
Вепсский			vep	веп	135
Вьетнамский	vi	vie	vie	вье	140
Волапюк	vo	vol	vol	вол	137
Воламо		wal	wal	воа	136
Варай		war	war	вар	131
Вашо		was	was	ваш	132
Волоф	wo	wol	wol	воф	138
Калмыцкий		xal	xal	кал	260
Коса	xh	xho	xho	коа	340
Яо		yao	yao	яоа	867
Яп		yap	yap	япа	868
Идиш	yi	yid	yid	иди	202
Йоруба	yo	yor	yor	йор	245
Ненецкий (юрако-самоедский)			yrk	нен	482
Сапотекский		zap	zap	сап	582
Зенагский		zen	zen	зен	194
Чжуанский	za	zha	zha	чжу	791
Китайский	zh	chi/zho	zho	кит	315
Зулу	zu	zul	zul	зул	195
Зуньи		zun	zun	зун	196
Молдавский				мол	460
